HYBAS_ID,FEOW_ID
7060329370,120
7060334780,120
7060305410,120
7060305280,120
7060298200,120
7060295790,120
7060295800,120
7060289980,120
7060289830,120
7060327530,120
7060348000,120
7060223480,120
7060223370,120
7060301180,120
7060301390,120
7060234190,120
7060234330,120
7060290130,120
7060290340,120
7060245930,120
7060246020,120
7060256650,120
7060256810,120
7060016090,103
7060016100,103
7060016260,103
7060274850,103
7060274860,103
7060269780,103
7060269970,103
7060261880,103
7060261890,103
7060263330,103
7060263190,103
7060234050,103
7060234040,103
7060257410,103
7060257320,103
7060192750,103
7060192890,103
7060177760,103
7060178710,103
7060178720,103
7060174580,103
7060173970,103
7060176450,103
7060176340,103
7060171990,103
7060171730,103
7060174770,103
7060174890,103
7060174100,103
7060174230,103
7060190090,103
7060190200,103
7060016270,103
7060016850,103
7060016860,103
7060017140,103
7060017150,103
7060017930,103
7060017940,103
7060018020,103
7060018030,103
7060018590,103
7060018600,103
7060018610,103
7060018620,103
7060018780,103
7060018790,103
7060018950,103
7060018960,103
7060019010,103
7060163080,103
7060162660,103
7060162570,103
7060148380,103
7060148370,103
7060140470,103
7060140620,103
7060019020,103
7060019190,103
7060019200,103
7060019440,103
7060019450,103
7060019840,103
7060020090,103
7060123570,103
7060123580,103
7060108080,103
7060108050,103
7060108990,103
7060108980,103
7060111430,103
7060111530,103
7060020500,103
7060020510,103
7060020680,103
7060020780,103
7060020790,103
7060021430,111
7060021550,111
7060021560,111
7060021620,111
7060099390,111
7060100460,111
7060100540,111
7060108890,111
7060108930,111
7060112450,111
7060112520,111
7060021690,111
7060021740,110
7060114060,110
7060114090,110
7060121810,110
7060123710,110
7060130730,110
7060142810,108
7060135250,111
7060145540,108
7060145630,108
7060118090,111
7060139370,108
7060114740,111
7060114730,111
7060140020,108
7060140080,108
7060137710,108
7060298300,120
7060177910,103
7060174590,103
7060174110,103
7060163190,103
7060019800,103
7060020100,103
7060020430,103
7060020440,103
7060020690,103
7060099500,111
7060021630,111
7060021700,111
7060121920,110
7060123800,110
7060130660,110
7060142610,111
7060135300,111
7060117980,111
7060139360,108
7060137570,108
7060134520,108
7060144640,108
7060144740,108
7060161120,108
7060161180,108
7060165930,108
7060166020,108
7060168960,108
7060169010,108
7060170490,108
7060170140,108
7060166730,108
7060166920,108
7060021750,110
7060134090,110
7060159850,109
7060192440,109
7060192420,109
7060192560,109
7060206680,109
7060206690,109
7060214090,109
7060219980,109
7060220090,109
7060224340,109
7060224350,109
7060192820,109
7060192810,109
7060230950,109
7060231030,109
7060250980,109
7060250990,109
7060245400,109
7060245390,109
7060179770,109
7060179920,109
7060177100,109
7060177090,109
7060284070,109
7060284240,109
7060235410,109
7060235660,109
7060179090,109
7060179080,109
7060276840,109
7060277090,109
7060302030,109
7060306440,109
7060306430,109
7060199390,109
7060201290,109
7060201280,109
7060194860,108
7060194980,108
7060289500,109
7060289200,109
7060284140,109
7060284060,109
7060290680,109
7060290770,109
7060317700,109
7060212920,108
7060213040,108
7060314930,109
7060314820,109
7060269450,108
7060269280,109
7060217900,108
7060226990,108
7060217780,108
7060227100,108
7060316050,109
7060316210,109
7060208410,107
7060208540,107
7060263820,108
7060263970,108
7060184430,107
7060184580,107
7060263060,108
7060262850,108
7060264520,108
7060264650,108
7060260120,108
7060260000,108
7060300250,109
7060300390,109
7060256540,107
7060256690,107
7060259190,107
7060259200,107
7060282770,107
7060282720,107
7060242640,107
7060202930,107
7060203140,107
7060224620,107
7060147190,110
7060163780,110
7060022280,110
7060146370,110
7060151610,110
7060151690,110
7060191640,110
7060191700,110
7060022850,110
7060023220,110
7060150030,110
7060149790,110
7060152640,110
7060152650,110
7060168790,110
7060168780,110
7060175260,110
7060134420,108
7060113180,111
7060113260,111
7060022240,110
7060132960,110
7060132870,110
7060134100,110
7060159950,110
7060302170,109
7060199540,109
7060318020,109
7060314300,109
7060242880,107
7060224630,107
7060224750,107
7060224740,107
7060022250,110
7060022270,110
7060129240,110
7060129300,110
7060133990,110
7060133910,110
7060137410,110
7060137520,110
7060146980,110
7060157540,110
7060157640,110
7060162040,110
7060161960,110
7060163620,110
7060171020,110
7060171100,110
7060022840,110
7060136230,110
7060136320,110
7060146310,110
7060175330,110
7060023230,110
7060023450,110
7060023460,110
7060023470,110
7060023480,110
7060023720,110
7060023730,110
7060197330,110
7060222910,110
7060223010,110
7060233450,110
7060233240,110
7060255600,110
7060257090,110
7060257230,110
7060270660,110
7060270960,110
7060271090,110
7060237380,110
7060237270,110
7060243120,110
7060243020,110
7060250850,110
7060251010,110
7060254310,110
7060254300,110
7060245620,110
7060245440,110
7060024300,110
7060024580,110
7060252580,110
7060252700,110
7060262320,110
7060262150,110
7060284470,110
7060284520,110
7060287970,110
7060287980,110
7060024610,110
7060024620,110
7060024660,110
7060024680,110
7060024730,110
7060024740,110
7060252330,110
7060252480,110
7060284340,110
7060284350,110
7060295550,110
7060295390,110
7060319640,110
7060319800,110
7060024840,113
7060024890,113
7060244280,113
7060244230,113
7060245300,113
7060245520,113
7060253350,113
7060253490,113
7060256760,113
7060256770,113
7060024900,113
7060220600,113
