HYBAS_ID,Native.richness,Introduced.richness,p.perm,jaccard.S,Jaccard.D,Jaccard.D.scaled,Jaccard.S.scaled,new.FBI
8060252130,26,0,1,1,0,0,1,No change (0)
8060252250,18,0,1,1,0,0,1,No change (0)
8060252610,36,0,1,1,0,0,1,No change (0)
8060252760,35,0,1,1,0,0,1,No change (0)
8060252780,28,3,0.23475,0.903225806,0.096774194,0.31797235,0.68202765,Moderate change (0.25 - 0.5)
8060252880,28,3,0.23375,0.903225806,0.096774194,0.31797235,0.68202765,Moderate change (0.25 - 0.5)
8060254850,36,1,0.819,0.972972973,0.027027027,0.088803089,0.911196911,Low change (0 - 0.25)
8060254970,35,0,1,1,0,0,1,No change (0)
8060258460,29,3,0.2605,0.90625,0.09375,0.308035714,0.691964286,Moderate change (0.25 - 0.5)
8060258570,32,4,0.181,0.888888889,0.111111111,0.365079365,0.634920635,Moderate change (0.25 - 0.5)
8060258800,15,0,1,1,0,0,1,No change (0)
8060258940,13,0,1,1,0,0,1,No change (0)
8060259520,21,0,1,1,0,0,1,No change (0)
8060259590,22,0,1,1,0,0,1,No change (0)
8060259990,19,0,1,1,0,0,1,No change (0)
8060260060,15,0,1,1,0,0,1,No change (0)
8060260870,36,1,0.8225,0.972972973,0.027027027,0.088803089,0.911196911,Low change (0 - 0.25)
8060261020,34,0,1,1,0,0,1,No change (0)
8060261040,23,0,1,1,0,0,1,No change (0)
8060261050,20,0,1,1,0,0,1,No change (0)
8060261290,34,3,0.3395,0.918918919,0.081081081,0.266409266,0.733590734,Low change (0 - 0.25)
8060261310,29,3,0.259,0.90625,0.09375,0.308035714,0.691964286,Moderate change (0.25 - 0.5)
8060261410,35,3,0.366,0.921052632,0.078947368,0.259398496,0.740601504,Low change (0 - 0.25)
8060261430,32,4,0.174,0.888888889,0.111111111,0.365079365,0.634920635,Moderate change (0.25 - 0.5)
8060262310,30,3,0.28775,0.909090909,0.090909091,0.298701299,0.701298701,Low change (0 - 0.25)
8060264660,36,1,0.829,0.972972973,0.027027027,0.088803089,0.911196911,Low change (0 - 0.25)
8060264760,34,0,1,1,0,0,1,No change (0)
8060264770,34,4,0.2035,0.894736842,0.105263158,0.345864662,0.654135338,Moderate change (0.25 - 0.5)
8060265410,17,0,1,1,0,0,1,No change (0)
8060265470,20,0,1,1,0,0,1,No change (0)
8060266590,34,4,0.18825,0.894736842,0.105263158,0.345864662,0.654135338,Moderate change (0.25 - 0.5)
8060267640,17,0,1,1,0,0,1,No change (0)
8060267770,21,0,1,1,0,0,1,No change (0)
8060269310,33,3,0.33475,0.916666667,0.083333333,0.273809524,0.726190476,Low change (0 - 0.25)
8060269450,35,1,0.82275,0.972222222,0.027777778,0.091269841,0.908730159,Low change (0 - 0.25)
8060270510,28,0,1,1,0,0,1,No change (0)
8060270520,31,0,1,1,0,0,1,No change (0)
8060271000,32,4,0.174,0.888888889,0.111111111,0.365079365,0.634920635,Moderate change (0.25 - 0.5)
8060271080,31,3,0.28425,0.911764706,0.088235294,0.289915966,0.710084034,Low change (0 - 0.25)
8060272020,32,3,0.3115,0.914285714,0.085714286,0.281632653,0.718367347,Low change (0 - 0.25)
8060272130,34,3,0.336,0.918918919,0.081081081,0.266409266,0.733590734,Low change (0 - 0.25)
8060274770,24,0,1,1,0,0,1,No change (0)
8060274780,21,0,1,1,0,0,1,No change (0)
8060275110,28,3,0.23675,0.903225806,0.096774194,0.31797235,0.68202765,Moderate change (0.25 - 0.5)
8060275180,29,2,0.47975,0.935483871,0.064516129,0.211981567,0.788018433,Low change (0 - 0.25)
8060279860,30,2,0.492,0.9375,0.0625,0.205357143,0.794642857,Low change (0 - 0.25)
8060279900,32,2,0.5025,0.941176471,0.058823529,0.193277311,0.806722689,Low change (0 - 0.25)
8060280610,19,0,1,1,0,0,1,No change (0)
8060280670,23,0,1,1,0,0,1,No change (0)
8060281800,20,0,1,1,0,0,1,No change (0)
8060281810,16,0,1,1,0,0,1,No change (0)
8060282510,13,0,1,1,0,0,1,No change (0)
8060282670,13,0,1,1,0,0,1,No change (0)
8060282950,23,1,0.66375,0.958333333,0.041666667,0.136904762,0.863095238,Low change (0 - 0.25)
8060283050,22,1,0.634,0.956521739,0.043478261,0.142857143,0.857142857,Low change (0 - 0.25)
8060283540,15,0,1,1,0,0,1,No change (0)
8060283690,13,0,1,1,0,0,1,No change (0)
8060285990,14,0,1,1,0,0,1,No change (0)
8060286130,14,0,1,1,0,0,1,No change (0)
8060286860,28,0,1,1,0,0,1,No change (0)
8060286910,31,0,1,1,0,0,1,No change (0)
8060287560,13,0,1,1,0,0,1,No change (0)
8060287650,15,1,0.48225,0.9375,0.0625,0.205357143,0.794642857,Low change (0 - 0.25)
8060287740,27,0,1,1,0,0,1,No change (0)
8060287840,26,0,1,1,0,0,1,No change (0)
8060290230,13,0,1,1,0,0,1,No change (0)
8060290300,15,0,1,1,0,0,1,No change (0)
8060292590,16,1,0.492,0.941176471,0.058823529,0.193277311,0.806722689,Low change (0 - 0.25)
8060292670,17,1,0.5245,0.944444444,0.055555556,0.182539683,0.817460317,Low change (0 - 0.25)
8060293820,16,0,1,1,0,0,1,No change (0)
8060293840,13,0,1,1,0,0,1,No change (0)
8060293870,16,0,1,1,0,0,1,No change (0)
8060293900,17,0,1,1,0,0,1,No change (0)
8060294870,26,0,1,1,0,0,1,No change (0)
8060294970,26,0,1,1,0,0,1,No change (0)
8060296400,26,0,1,1,0,0,1,No change (0)
8060296490,21,0,1,1,0,0,1,No change (0)
8060297330,24,0,1,1,0,0,1,No change (0)
8060297380,21,1,0.603,0.954545455,0.045454545,0.149350649,0.850649351,Low change (0 - 0.25)
8060297770,16,0,1,1,0,0,1,No change (0)
8060297840,17,1,0.50025,0.944444444,0.055555556,0.182539683,0.817460317,Low change (0 - 0.25)
8060298100,23,0,1,1,0,0,1,No change (0)
8060298170,27,0,1,1,0,0,1,No change (0)
8060298770,26,0,1,1,0,0,1,No change (0)
8060298780,27,0,1,1,0,0,1,No change (0)
8060298840,26,0,1,1,0,0,1,No change (0)
8060298910,27,0,1,1,0,0,1,No change (0)
8060299210,20,0,1,1,0,0,1,No change (0)
8060299220,23,0,1,1,0,0,1,No change (0)
8060302210,20,0,1,1,0,0,1,No change (0)
8060302220,21,0,1,1,0,0,1,No change (0)
