HYBAS_ID,WSI,CCI,Fish_priority,FBCI,Protected_area,SARI,Fish_richness,FBCI_n,WSI_n,CCI_n,Priority_n,Protected_area_n,SARI_n,Fish_richness_n,FEOW_ID,protection_score,Prot_rank_feow,restoration_score,Rest_rank_feow,SAR_score,SAR_rank_feow,AIS_score,AIS_rank_feow
7060260000,4.83543243303,0.681745099791,0.6255910857249871,0.096774194,14.043201573041094,0,31,31.797235180513496,20.48553737191442,2.3793614830292933,49.736171544570546,7.110435074088788,0,25.42372881355932,108,54.10204390453943,5,135.64812559614552,17,138.26325680675697,26,162.91640773194595,26
7060170490,5.51260903812,4.12124782277,0.5809454696247149,0.085714286,9.212474172761612,0,35,28.16326540804665,23.354427971273815,15.86711249836011,40.98170827959266,4.664513220645914,0,28.8135593220339,108,36.85676940590936,12,122.30613787655545,19,140.04121983818118,25,161.59270122214335,27
7060168960,4.39150244277e-4,8.82730358099,0.5401236012921953,0.129032258,6.78459432702385,0,31,42.39631335497038,0.00186048070480111,34.32155590003866,32.97703552690489,3.4352150466525035,0,25.42372881355932,108,18.202613873467243,25,33.113123243408936,40,131.56262535202458,27,153.29068440633785,28
7060161180,1.22879235208,4.12168570552,0.5401236012921953,0.129032258,0.7321041056406354,0,31,42.39631335497038,5.205836706332337,15.868829622602068,32.97703552690489,0.37068317110638566,0,25.42372881355932,108,22.225000786558,23,64.75732413929671,30,120.8902700873295,29,151.24627940706026,29
7060145540,0.900088948011,4.24228689995,0.5401236012921953,0.129032258,8.564669562395938,0,31,42.39631335497038,3.813269244871294,16.341758128154897,32.97703552690489,4.336513041384552,0,25.42372881355932,108,23.381103995242626,22,60.75439904538915,33,119.28119609312418,30,149.5608745388158,30
7060165930,0.163306046855,3.70631016142,0.5977198075013368,0.105263158,11.290754702514876,0,38,34.58646620988185,0.6918537632861498,14.239965694322928,44.27095227625728,5.716800245787149,0,31.35593220338983,108,61.453002089048525,2,73.4013851906756,27,117.05673098300167,31,147.11020951612716,31
7060144740,0.410418131852,3.5996981375,0.5505941582002902,0.125,1.8164657844131291,0,32,41.07142858316327,1.7387557565140073,13.821894667872913,35.03018461123836,0.9197234516637603,0,26.271186440677965,108,32.54289128995685,15,61.148003196374496,32,114.60805052555052,33,145.90957775243692,32
7060145630,0.371505360424,3.24600599594,0.5595944935567577,0.121212121,27.674840372027816,0,33,39.82683976852196,1.573899966597914,12.434917559359793,36.795041099582264,14.012485319100008,0,27.11864406779661,108,38.645639318078544,10,64.91983117569464,29,113.65355561593158,34,145.31914124430693,33
7060140080,0.21828445191,3.33957511836,0.5401236012921953,0.129032258,7.291938283718761,0,31,42.39631335497038,0.924772367154782,12.801841829398136,32.97703552690489,3.692096374880726,0,25.42372881355932,108,28.039559022337524,19,56.972311630864525,34,111.42274020014207,36,143.80452929575625,34
7060166730,1.87835613746,5.21447507525,0.5261248185776487,0.103448276,8.10561546846525,0,29,33.9901478382829,7.957744293738312,20.154120874923755,30.23204419889501,4.104082115931684,0,23.728813559322035,108,20.172835289416064,24,61.84987970182206,31,114.91468679585802,32,137.33559651574444,35
7060161120,0.457101525173,6.43862972698,0.5401236012921953,0.096774194,18.641464989471984,0,31,31.797235180513496,1.9365321522697565,24.95455119192399,32.97703552690489,9.438654417926015,0,25.42372881355932,108,32.610430547862194,14,46.50103916258041,38,111.43778542059269,35,131.8455607226117,36
7060139370,0.0285329851801,3.43101438023,0.5410131560466314,0.096774194,5.207725030494169,0,31,31.797235180513496,0.1208813363302335,13.160414011617547,33.15146641396907,2.6368054588579417,0,25.42372881355932,108,40.62241451200239,9,53.89621534824293,36,97.15462825009621,38,123.61716058123508,37
7060137710,0.0437290609702,3.29612779524,0.5410131560466314,0.096774194,0.04214828982117501,0,31,31.797235180513496,0.18526022752889912,12.631466422334164,33.15146641396907,0.02134074956440628,0,25.42372881355932,108,40.822509415445424,8,54.588355940797356,35,96.72193238011312,39,123.44153548259155,38
7060140020,7.72411286292e-4,3.27647240826,0.529874213836478,0.1,0.16490608149895128,0,30,32.857142866530616,0.00327235681419872,12.554389301875716,30.967255086915515,0.08349618506417997,0,24.57627118644068,108,35.282309969803364,13,50.896736435528,37,94.91377029513325,40,122.06333232814467,39
7060166920,0.854295421619,3.76814748903,0.5941178842122238,0.055555556,1.273150452341924,0,36,18.25396840521542,3.619262812295165,14.482456119664048,43.56465885100838,0.6446288884833481,0,29.661016949152543,108,73.46341890819915,1,76.69957057408807,26,99.72847295355822,37,118.92742281895136,40
7060144640,4.25134149037e-4,4.8206741052,0.5402757619738752,0.066666667,8.191779731236089,0,30,21.90476202054422,0.00180110085680944,18.609860014728884,33.00687238916587,4.147709304103136,0,24.57627118644068,108,47.80296002691259,6,46.304391375359,39,89.49878334786446,41,107.04928963614668,41
7060284070,7.81359028307,3.0705614845799998,0.7835858127721336,0.203125,10.046609187359016,2,64,66.74107144764031,33.10264344906931,11.746925114864638,80.71701926964022,5.0868572884994725,10,53.389830508474574,109,90.73172113844528,22,239.7858691609638,6,272.85440430253317,5,318.02358699694264,1
7060284240,10.4024131654,6.95929833761,0.7941763425253991,0.15625,0.7028513934356092,2,64,51.33928572895408,44.07031358814029,26.996313954534408,82.79369357229484,0.35587176857296815,10,53.389830508474574,109,92.64419340862463,21,253.47755335656421,3,287.35071890469493,2,314.62472590975915,2
7060269280,13.775685257,5.50046130347,0.7310595065312046,0.18,9.80831107009188,0,50,59.1428571597551,58.36133976939247,21.275594340920623,70.41724834927905,4.966200806698356,0,41.52542372881356,109,28.28138686428241,49,255.27106733847592,2,275.7439353213904,3,311.55297115907547,3
7060245400,2.21113902011,3.67872942836,0.7533923099960835,0.253968254,4.006618550464809,2,63,83.44671205241335,9.367594658452877,14.131809925802012,74.79643996124254,2.0286542749087726,10,52.54237288135593,109,83.89294844187674,27,170.87273211868984,17,253.61339542957182,8,310.31848494304523,4
7060250990,10.297338226,0.518451077929,0.7687841911354248,0.128205128,13.774593912608,5,78,42.12454206917844,43.62515865572372,1.739016268457387,77.81460097643901,6.974432088986077,25,65.2542372881356,109,136.05117878889308,4,304.64400516401463,1,275.07354811774854,4,306.37334044868805,5
