HYBAS_ID,FEOW_ID,WSI_n,FBCI_n,CCI_n,SARI_n,Fish_richness_n,Priority_n,protection_score,Prot_rank_feow,restoration_score,Rest_rank_feow,SAR_score,SAR_rank_feow,AIS_score,AIS_rank_feow
8060293840,111,0.00742888623620226,0,12.490105794336348,0,10.084033613445378,7.48993605405902,16.681755373390452,70,6.351017911629343,35,22.18517031464472,112,23.829275099975927,110
8060018120,111,0.01269420493301956,0,21.119989103751827,0,8.403361344537815,4.1655259338082375,4.9773098524794,104,-7.824669169669538,81,26.524698480912612,107,23.146400981826357,111
8060018090,111,0.00700081754330301,0,20.867762864892327,0,8.403361344537815,4.1655259338082375,5.1091163592988655,103,-7.586875005821182,79,26.263960161234387,108,23.012430472560123,112
8060199600,111,0.00664625207508517,0,16.23343700490624,0,10.084033613445378,4.5002556963463904,9.681589475299415,90,-0.8822576028664084,58,22.06188611201141,114,22.71018024157928,113
8060201110,111,0.01358101372147406,0,18.72952929442853,0,8.403361344537815,4.1655259338082375,6.171652948352594,98,-5.431961403184812,71,24.1355645234173,110,21.952394953546968,114
8060227070,111,0.01327987589286728,0,14.465037850800714,0,9.243697478991596,4.000227285641231,8.860939225593688,93,-0.5207455973442121,56,19.65690338975555,119,20.494771120564064,115
8060211930,111,0.00609101677296878,0,11.66327292524658,0,10.084033613445378,4.5002556963463904,11.96722675043136,83,3.6864990198646304,46,17.490891910064,120,20.424331926784994,116
8060229750,111,0.00428064768267029,0,20.616186474173777,0,8.403361344537815,0,-1.9090125402317426,110,-12.201974185510123,91,20.622586393332128,117,18.71736226281572,117
8060030930,111,0.00446302618664825,0,27.28442435347771,0,1.680672268907563,3.1819989772146258,-6.506766134555741,115,-21.880106692059798,105,31.405196631160408,99,18.51104280289239,118
8060229590,111,0.01339721096290127,0,19.97744673920988,0,7.563025210084033,0.6545826467413015,-1.316052371737287,109,-11.616781402618603,88,20.843805746346483,116,18.22482058997636,119
