HYBAS_ID,FEOW_ID,WSI_n,FBCI_n,CCI_n,SARI_n,Fish_richness_n,Priority_n,protection_score,Prot_rank_feow,restoration_score,Rest_rank_feow,SAR_score,SAR_rank_feow,AIS_score,AIS_rank_feow
7050159950,110,0.4493826929916433,34.2261905954932,14.430072776662454,4.545454545454546,39.02439024390244,57.32127476313523,97.16876806720299,4,102.05136253769692,1,142.9755245946998,5,171.47436081700644,2
7050134090,110,1.680630779219739,37.337662467810766,13.499703429147178,4.545454545454546,35.77235772357724,52.534648813718576,81.51581771103957,20,97.52566247680012,4,141.7044017772128,8,170.3741165569168,3
7050134100,110,0.7848467785995851,37.337662467810766,12.332561323641707,4.545454545454546,35.77235772357724,53.05144467935165,83.88182012906486,17,97.02502481156905,5,139.86616967900386,9,169.0710783825159,4
7050132870,110,0.6553274979395862,42.12454206917844,12.37230620576684,4.545454545454546,31.70731707317073,48.03286291658383,66.0506654673762,40,87.13581753983064,10,139.3885219488957,13,168.6045260177322,5
7050237270,110,0.17922827060070165,22.40259734925789,49.148037113888485,4.545454545454546,35.77235772357724,55.35353535353534,86.45788336034562,14,60.115560217636755,27,159.51808306478983,2,161.5641458863328,6
7050129240,110,0.09152677970108998,30.56478412301851,13.696950439572351,9.090909090909092,34.959349593495936,51.88149750615949,93.63650531460092,6,97.75170618040617,3,139.64073099276123,11,158.94198420817196,7
7050237380,110,0.39289488486276,23.469387620991252,47.34525412588612,4.545454545454546,34.146341463414636,52.59505352528608,79.61349843592272,22,57.70461735736267,28,155.84212378109038,3,158.5289177327911,8
7050252700,110,4.3901006916612415,20.972644305992183,22.218698100121355,4.545454545454546,38.21138211382114,56.658419924129966,101.96239490512136,2,101.56119815146315,2,138.72986076711396,14,155.03318977645807,9
7050021740,110,0.38902714885910145,34.58646620988185,26.005743126830932,4.545454545454546,30.89430894308943,42.60573915408678,57.66800913155657,49,65.05451469106848,24,135.89880273069267,16,154.99378826233198,10
7050022240,110,0.7740113343580443,32.857142866530616,18.061634242801045,4.545454545454546,32.520325203252035,47.1111111111111,72.51304971965965,28,80.71268698448027,15,132.12824528755772,20,154.51400892421304,11
7050287980,110,4.176303154309959,21.90476202054422,24.555018785077724,4.545454545454546,36.58536585365854,54.99626758541487,95.5049936666797,5,95.19540805704916,6,139.7979457936838,10,154.32700404699912,12
7050284520,110,3.2733473009389376,24.64285714989796,23.058507812774184,9.090909090909092,32.520325203252035,49.157622739018095,85.17575118404804,16,90.345321649743,8,142.61086924141716,7,151.99419788686663,13
7050022250,110,0,25.274725307221352,26.143710321101352,9.090909090909092,31.70731707317073,45.77486251904858,79.59475876234107,23,74.25565831504602,18,137.24224904488312,15,145.98194024025156,14
7050262150,110,1.228835095431657,25.274725307221352,19.99205363280273,4.545454545454546,31.70731707317073,47.863247863247864,79.91108038253053,21,79.36780955978548,16,125.94588838465287,24,142.14494633333862,15
7050022270,110,0.00631402132430707,25.274725307221352,17.899651431455776,9.090909090909092,31.70731707317073,45.77486251904858,83.71047418583954,18,82.51572251456018,13,129.00763013466013,23,141.86862471626097,16
7050021750,110,0.10293446528702296,16.428571433265308,55.94271328409145,4.545454545454546,32.520325203252035,45.91214470284239,70.25799375868377,30,38.36266434986997,49,146.29782194874358,4,141.2103875986801,17
7050287970,110,2.036195737420122,16.02787463315082,25.53049792337873,9.090909090909092,33.333333333333336,50.550198525241065,97.85558685532376,3,86.45706085139706,11,133.93866514406164,18,137.93426112736324,18
7050022280,110,0.01671358585845991,19.327730962665065,40.54820689709059,9.090909090909092,27.642276422764223,42.377260981912144,69.02331195819907,31,51.369036763322384,37,139.61986738064235,12,134.84178963670976,19
7050024030,110,0.19910059153890372,18.25396840521542,37.27037296023325,4.545454545454546,29.26829268292683,42.423198392190656,68.25217372974839,33,50.10842115324593,40,125.60918701923481,25,128.61251767806039,20
7050129300,110,0.06818081850197139,20.53571429158163,31.828876694810667,9.090909090909092,26.016260162601625,39.83204134366925,66.0099736338116,41,55.724056521755415,30,129.24243198798985,22,128.59655417889417,21
7050284470,110,1.0238946974053034,17.293233104940924,18.293451200785217,4.545454545454546,30.89430894308943,49.74296205630354,92.15691072382569,8,81.261779324712,14,116.0920262987924,30,127.44677918020476,22
7050262320,110,0.9336837809718,18.25396840521542,16.534929336816674,4.545454545454546,29.26829268292683,47.281079529141536,86.21979757975639,15,78.37347573833432,17,112.2529022992897,34,124.11646828283705,23
7050151610,110,0.04364102974153421,9.956709859987631,57.68742164107965,9.090909090909092,26.82926829268293,40.79242032730405,67.20284030691798,36,30.855172639464936,51,142.68151465453337,6,123.87050517853766,24
7050132960,110,3.2371664996280827,18.25396840521542,9.86273530839442,4.545454545454546,29.26829268292683,46.879127189204695,86.56279725835935,13,90.41578621512953,7,108.50490779065169,36,123.55743354040929,25
7050191700,110,0.11712774851603255,9.663865645618248,56.379577461527624,4.545454545454546,27.642276422764223,42.547499620003045,66.81590007150011,37,28.59458496893326,53,133.69353696992596,19,120.8037532287008,26
7050151690,110,0.03435570426461204,9.956709859987631,59.24766249832041,4.545454545454546,26.82926829268293,40.95528932738237,61.59779710051349,45,22.8704993043448,57,134.75640353997565,17,120.2552254723227,27
7050137410,110,0.02613155884219525,10.267857145790815,48.11923779790328,9.090909090909092,26.016260162601625,38.95348837209303,67.69418468238588,34,37.4464722058859,50,131.11026371385586,21,116.98074520788774,28
7050024600,110,1.7372107773658574,8.01393731657541,20.417727494225133,4.545454545454546,33.333333333333336,50.48969559463037,104.30884909625065,1,83.48261521950326,12,108.29763405373107,37,115.6670737206623,29
7050023220,110,0.05067134760263243,9.12698420260771,42.46050663724515,4.545454545454546,29.26829268292683,42.423198392190656,75.8452187580472,26,43.78145458518601,45,118.82295745838724,27,114.26993435597603,30
7050191640,110,0.13145367925185533,9.663865645618248,24.20711687445737,9.090909090909092,27.642276422764223,44.27420580635356,90.96388611042147,10,69.40875976626428,19,113.45705158240676,32,111.00945474785047,31
7050146370,110,0.04854898749362164,10.952380845986395,52.91118345699047,4.545454545454546,24.390243902439025,34.67355727820844,50.44024780524706,54,19.558217469498253,58,121.6016127863214,26,110.21121433522038,32
7050137520,110,0.01244233613907571,10.59907850302831,37.670206270795966,9.090909090909092,25.203252032520325,37.18262899058096,68.71684074527099,32,45.0093941831353,43,118.77774266880292,28,109.76070872150211,33
